pi,piName,iec_range,cohort_id,companyId,companyName,avg_monthly_impressions,p99,p100,total_companies_in_cohort
31,Internet,51-200,51-200_31,1,AmbitionBox,1293.5,34743.0,38534.5,255
31,Internet,10001-50000,10001-50000_31,28,Flipkart,129514.0,225628.5,225628.5,17
31,Internet,1001-5000,1001-5000_31,29,Snapdeal,4199.0,318308.5,361522.5,117
21,Financial Services,5001-10000,5001-10000_21,30,Goldman Sachs,62646.0,62646.0,62646.0,30
31,Internet,1001-5000,1001-5000_31,31,Housing.com,2253.5,318308.5,361522.5,117
31,Internet,5001-10000,5001-10000_31,32,Ola Cabs,9605.5,74951.0,74951.0,14
155,IT Services & Consulting,51-200,51-200_155,33,WebEngage,134.0,24634.5,159944.5,920
95,Banking,10001-50000,10001-50000_95,36,Deutsche Bank,39858.5,116249.5,116249.5,29
22,FMCG,10001-50000,10001-50000_22,37,ITC,58101.5,67731.0,67731.0,11
189,Accounting & Auditing,1001-5000,1001-5000_189,38,BCG,36865.5,36865.5,36865.5,9
21,Financial Services,10001-50000,10001-50000_21,40,American Express,56753.0,174131.5,174131.5,42
155,IT Services & Consulting,100001+,100001+_155,41,Infosys,483082.5,1832384.5,1832384.5,9
85,Recruitment,100001+,100001+_85,42,TCS,1547540.5,1547540.5,1547540.5,2
155,IT Services & Consulting,100001+,100001+_155,43,Cognizant,895465.5,1832384.5,1832384.5,9
155,IT Services & Consulting,100001+,100001+_155,44,Wipro,1356661.5,1832384.5,1832384.5,9
189,Accounting & Auditing,100001+,100001+_189,45,Deloitte,233806.0,233806.0,233806.0,1
189,Accounting & Auditing,10001-50000,10001-50000_189,46,KPMG India,116640.5,208094.0,208094.0,5
97,FinTech,51-200,51-200_97,49,CapitalOne,2775.0,12478.5,12478.5,60
31,Internet,1001-5000,1001-5000_31,54,Myntra,60781.0,318308.5,361522.5,117
21,Financial Services,10001-50000,10001-50000_21,55,Wells Fargo,174131.5,174131.5,174131.5,42
21,Financial Services,10001-50000,10001-50000_21,57,Citicorp,102411.5,174131.5,174131.5,42
21,Financial Services,50001-100000,50001-100000_21,60,JPMorgan Chase & Co.,179882.0,179882.0,179882.0,6
101,Investment Banking / Venture Capital / Private Equity,501-1000,501-1000_101,63,Verity Knowledge Solutions,1867.5,4214.0,4214.0,9
22,FMCG,1001-5000,1001-5000_22,66, Wipro Consumer Care & Lighting,3943.5,21805.0,21805.0,68
189,Accounting & Auditing,10001-50000,10001-50000_189,67,PwC,173715.5,208094.0,208094.0,5
91,Engineering & Construction,50001-100000,50001-100000_91,70,Larsen & Toubro Limited,139623.5,139623.5,139623.5,2
29,Furniture & Furnishing,501-1000,501-1000_29,71,Urban Ladder,2012.0,4327.0,4327.0,12
