companyId,companyName,monthly_impressions,p90,p99,p100
41,Infosys,454761,1757179,1757179,1757179
562,Axis Bank,183983,346580,346580,346580
293916,Kotak Mahindra Bank Ltd..,165851,165851,165851,165851
146,EXL Service,72569,72569,146666,146666
224423,ADP Solutions,71087,81469,217476,217476
608245,NTT DATA,69454,66949,69454,69454
509976,ZS,68247,68247,68247,68247
346,Asian Paints,50382,50382,50382,50382
248,Ericsson,49648,66949,69454,69454
4021,KocharTech,49332,35176,49332,49332
694,Siemens,42671,36372,42671,42671
597460,Adani Group,42504,21728,42504,42504
226213,Pidilite Industries,30441,30441,30441,30441
7687,Flex,30302,30302,30302,30302
964055,Zepto,29958,29958,32313,32313
2300,Info Edge,29854,44906,70621,70621
15257,Amgen,14620,2167,14620,14620
264652,Eaton,14454,36372,42671,42671
158656,Innovatiview India Ltd,14287,14443,14443,14443
7470,TransUnion,13869,12707,32518,36258
11991,Happiest Minds Technologies,13807,12643,80531,115073
2545,Tesco,13777,8270,13777,13777
9448,IKEA,2406,8270,13777,13777
8893,NIKE,2401,17235,252741,308160
406695,Dailyhunt,141,4922,26955,26955
822171,GIVA Jewellery,175,8809,12025,12025
167117,Hindustan Power,174,3938,10983,10983
1787718,Dayforce,378,2099,14069,30790
